id,e2_1,e2_2,e2_3,e2_4,e2_5,e2_6,e2_7,e2_8,SMILES,pkbhx
id899,-0.62,0.06,0.9,0.1,-0.17,-0.07,-0.22,1.72,[I:1]C1CCCCC1,-0.32
id900,-0.16,0.06,0.35,0.22,-0.08,-0.15,-0.14,0.39,ClCCOCC[Cl:1],-0.33
id901,-0.57,0.06,0.79,0.01,-0.09,0.02,-0.2,1.54,CC(C)(C)[I:1],-0.33
id902,-0.22,-0.05,0.69,0.74,-0.05,-0.7,-0.27,0.84,CC(C)[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1,-0.34
id903,0,0.18,0.29,0.39,-0.1,-0.26,-0.16,0.2,CCCC[Br:1],-0.34
id904,-0.19,-0.02,0.44,0.15,-0.08,-0.32,-0.19,0.91,CCC(CC)[N:1](C(C)C)C(C)C,-0.34
id905,-0.13,0.18,0.44,0.17,-0.08,-0.04,-0.24,0.5,CCCCC[Br:1],-0.35
id906,-0.1,-0.01,0.63,0.77,-0.04,-0.7,-0.28,0.71,C[Si](C)(C)[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1,-0.36
id907,-0.19,-0.02,0.71,0.73,-0.1,-0.69,-0.27,0.8,C[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1,-0.36
id908,0.16,-0.02,0.48,1.01,0.05,-0.84,-0.23,0.01,CC[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1,-0.36
id909,-0.59,-0.11,0.87,0.02,-0.08,-0.22,-0.28,2.04,[OH:1]c1cccc(c1)C(F)(F)F,-0.36
id910,-0.53,0.03,1.04,0.26,-0.2,-0.5,-0.36,2.51,C[O:1]c1ccccc1C,-0.37
id911,-0.2,0.17,0.49,0.22,-0.14,-0.12,-0.21,0.97,C[S:1]CCl,-0.37
id912,0.08,0.12,0,-0.17,-0.05,0.01,-0.15,0.11,CCCCC[I:1],-0.37
id913,-0.23,0.05,0.32,-0.02,0.03,0.05,-0.09,0.6,CC(C)[I:1],-0.37
id914,0.12,0.32,0.67,0.94,-0.23,-0.71,-0.39,-0.1,C1CC1[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1,-0.37
id915,-0.53,-0.01,1,0.31,-0.13,-0.4,-0.35,1.93,ClS(Cl)=[O:1],-0.38
id916,-0.32,0.09,0.66,0.34,-0.21,-0.37,-0.26,1.16,CCCCC[Cl:1],-0.38
id917,-0.2,0.17,0.48,0.22,-0.14,-0.12,-0.22,0.66,CCC[Br:1],-0.38
id918,-0.6,0.05,1,0.3,-0.26,-0.41,-0.36,2.11,C1C[S:1]CS1,-0.38
id919,0.19,-0.94,-0.01,0.56,0.8,-0.32,-0.36,-0.72,C1[c:1]2[cH:1][cH:1][cH:1][cH:1][c:1]2-c2ccccc12,-0.38
