id,e2_1,e2_2,e2_3,e2_4,e2_5,e2_6,e2_7,e2_8,SMILES,pkbhx
id065,-1.15,0.15,2.34,0.88,-0.59,-1.22,-0.83,4.44,CN1CCCCCC1=[O:1],2.53
id066,-1.73,0.07,2.91,0.06,-0.78,-1.25,-0.96,7.98,CC(C)C[N:1]=CN(C)C,2.52
id067,-1.28,0.14,2.55,0.52,-0.62,-1.4,-0.87,6.43,CN(C)C=[N:1]C12CC3CC(CC(C3)C1)C2,2.52
id068,-1.15,0.22,2.37,0.91,-0.66,-1.24,-0.86,4.38,CC1=CC(=[O:1])C=C(C)O1,2.5
id069,-1.22,0.13,2.45,0.84,-0.6,-1.23,-0.86,4.65,CN1C=CC=CC1=[O:1],2.5
id070,-0.65,0.02,1.47,0.83,-0.27,-0.87,-0.47,2.37,COP(=[O:1])(OC)OC,2.5
id071,-1.4,0.13,2.74,0.9,-0.71,-1.48,-0.96,5.46,CN(C)C(=[O:1])c1ccc(cc1)N(C)C,2.49
id072,-0.79,0.15,1.84,1.27,-0.45,-1.19,-0.66,2.46,CCCCOP(=[O:1])OCCCC,2.49
id073,-1.37,0.08,2.58,0.79,-0.62,-1.32,-0.87,5.21,COc1ccccc1C(=[O:1])N(C)C,2.48
id074,-1.73,0.07,2.96,0.18,-0.78,-1.34,-0.99,7.86,CN(C)C=[N:1]CC=C,2.48
id075,-1.21,0.14,2.38,0.83,-0.58,-1.2,-0.85,4.58,CCN(CC)C(C)=[O:1],2.47
id076,-0.98,0.15,2.11,1.01,-0.51,-1.19,-0.77,3.66,CC(C)N(C(C)C)C(C)=[O:1],2.47
id077,-1.04,0.27,2.28,1.16,-0.69,-1.28,-0.77,3.8,[O:1]=S1CCCC1,2.47
id078,-1.46,0.05,2.34,-0.1,-0.63,-0.88,-0.71,6.21,C1CC2(CC[N:1]1CC2)c1ccccc1,2.46
id079,-1.08,0.12,2.24,0.96,-0.52,-1.19,-0.8,3.95,CN1CCN(C)C1=[O:1],2.46
id080,-0.88,0.18,1.94,0.95,-0.47,-1.05,-0.7,3.09,CN1CN(C)C1=[O:1],2.46
id081,-1.19,0.14,2.36,0.83,-0.6,-1.19,-0.84,4.5,CC(=[O:1])N1CCCCC1,2.45
id082,-1.1,0.22,2.42,1.29,-0.64,-1.45,-0.86,4.08,CN(C)C1=C(C)N(C)N(C1=[O:1])c1ccccc1,2.45
id083,-0.99,0.14,2.12,1.01,-0.51,-1.21,-0.78,3.75,CN(C)C(C)=[O:1],2.44
id084,-1.12,0.18,2.3,0.94,-0.61,-1.22,-0.83,4.32,CN(C)C(=[O:1])N(C)C,2.44
id085,-1.02,0.25,2.11,0.77,-0.57,-0.94,-0.77,3.83,[O-:1][n+]1ccc(Cl)cc1,2.44
id086,-0.81,0.33,1.98,1.21,-0.59,-1.13,-0.67,2.96,[O:1]=S(Cc1ccccc1)Cc1ccccc1,2.43
id087,-1.2,0.04,2.1,0.38,-0.51,-1,-0.71,5.03,CN(C)C=[N:1]N(C)C,2.43
id088,-1.06,0.08,2.21,0.81,-0.47,-1.16,-0.78,3.99,CCN(CC)C(=[O:1])N(CC)CC,2.43
id089,-1.13,0.11,2.32,0.79,-0.55,-1.21,-0.83,4.58,CC(=[O:1])N(C1CCCCC1)C1CCCCC1,2.41
id090,-1.69,0.1,3.02,0.25,-0.79,-1.39,-1.01,7.85,CN(C)C=[N:1]C(C)(C)C,2.41
id091,-1.64,-0.03,2.82,0.09,-0.62,-1.21,-0.93,7.61,COc1cccc(C[N:1]=CN(C)C)c1,2.4
id092,-0.84,0.11,1.76,0.87,-0.4,-1.03,-0.61,3,CC1CCOP(O)(=[O:1])O1,2.4
id093,0.95,0.03,-0.63,1.43,0.45,-0.46,0.11,-4.26,CC(C)C1OP(O)(=[O:1])OCC1(C)C,2.4
id094,-1.42,0.08,2.27,-0.15,-0.64,-0.87,-0.71,6.31,C[N:1]1C2CCC1CCC2,2.39
id095,-1.03,0.15,2.15,0.97,-0.54,-1.12,-0.77,3.65,CN1CCCC1=[O:1],2.38
id096,-1.65,0.02,2.54,-0.14,-0.72,-0.96,-0.79,7.02,C1CC[NH:1]CC1,2.38
id097,-1.06,-0.01,2.15,1.07,-0.43,-1.36,-0.78,3.64,OP1(=[O:1])OCCC(O1)c1ccccc1,2.38
id098,-1.16,0.13,2.32,0.82,-0.59,-1.22,-0.83,4.57,CCC(=[O:1])N(C)C,2.36
id099,-1.77,0.1,3.13,0.29,-0.81,-1.35,-1.03,7.71,CN(C)C=[N:1]Cc1ccc(C)cc1,2.36
id100,-1.42,0.08,2.59,0.19,-0.58,-1.19,-0.9,7.22,CN(C)C=[N:1]C1CC1,2.36
id101,-1.56,-0.21,3.3,1.01,-0.45,-1.88,-1.14,6.17,CN(C)C=[N:1]Cc1ccccc1,2.35
id102,-1.57,0.07,2.64,0.25,-0.7,-1.18,-0.9,6.53,C=Cn1cc[n:1]c1,2.35
id103,-0.98,0.16,2.07,0.98,-0.53,-1.16,-0.76,3.67,CCN(CC)C(=[O:1])c1ccc(OC)cc1,2.35
id104,-1.28,0.13,2.61,1.02,-0.66,-1.48,-0.95,4.94,CCN(CC)c1ccc(cc1)C(=[O:1])c1ccc(cc1)N(CC)CC,2.33
id105,-1.36,0.03,2.06,-0.01,-0.58,-0.79,-0.62,5.43,C1C[N:1]2CCN1CC2,2.33
id106,-1.76,0.01,2.98,0.16,-0.75,-1.34,-0.96,7.59,CN(C)C=[N:1]c1ccc(cc1)N(C)C,2.32
id107,-1,0.2,2.15,1.02,-0.58,-1.18,-0.78,3.68,[O:1]=CN1CCCC1,2.31
id108,-1.36,-0.05,2.03,-0.17,-0.44,-0.7,-0.65,5.71,COCC[NH:1]CCOC,2.31
id109,-1.32,0.11,2.47,0.76,-0.66,-1.31,-0.85,5.25,COc1ccc(cc1)C(=[O:1])N(C)C,2.31
id110,-1.69,0.05,2.56,-0.18,-0.75,-0.95,-0.81,7.16,NCCC[NH2:1],2.31
id111,-1.12,0.15,2.2,0.8,-0.56,-1.13,-0.79,4.19,CNC(C)=[O:1],2.3
id112,-0.96,0.17,2.18,1.03,-0.53,-1.24,-0.78,3.77,CN(C)C(=[O:1])C12CC3CC(CC(C3)C1)C2,2.3
id113,-0.93,0.22,1.95,0.92,-0.56,-1.05,-0.7,3.23,[O:1]=C1C(=C1c1ccccc1)c1ccccc1,2.3
id114,-1.76,0.07,2.7,-0.21,-0.77,-0.94,-0.83,7.46,[NH2:1]C12CC3CC(CC(C3)C1)C2,2.3
id115,-1.65,0,2.8,0.03,-0.67,-1.17,-0.91,7.69,CN(C)C=[N:1]CC#C,2.3
id116,-0.97,0.15,2.05,0.95,-0.49,-1.12,-0.76,3.57,CCNC(C)=[O:1],2.29
id117,-1.59,0.08,2.71,0.08,-0.7,-1.11,-0.91,7.26,Cc1cc(C)[n:1]c(C)c1,2.29
id118,-1.75,0.07,2.66,-0.23,-0.77,-0.93,-0.83,7.46,[NH2:1]C1CCCCC1,2.29
id119,-1.48,0.04,2.31,-0.12,-0.64,-0.84,-0.72,6.36,C[NH:1]CCNC,2.29
id120,-1.53,0.03,2.47,0.04,-0.67,-0.99,-0.78,6.46,CC1C[NH:1]1,2.28
id121,-0.9,0.14,2.06,1.03,-0.5,-1.24,-0.74,3.57,CN(C)C(=[O:1])c1ccc(C)cc1,2.27
id122,-1.73,0.04,2.64,-0.22,-0.76,-0.97,-0.82,7.44,CCCCCCCC[NH2:1],2.27
id123,-1.09,0.1,2.25,0.87,-0.51,-1.16,-0.79,4.11,CC(C)C(=[O:1])N(C)C,2.26
id124,-1.75,0.1,3.13,0.29,-0.8,-1.42,-1.04,7.95,CCC(C)(C)[N:1]=CN(C)C,2.26
id125,-1.64,0,2.49,-0.18,-0.68,-0.91,-0.79,6.92,COCC[NH2:1],2.26
id126,-1.34,0.08,2.53,0.8,-0.62,-1.29,-0.87,5.02,CCN(CC)C(=[O:1])c1ccccc1,2.26
id127,-1.72,0.06,2.68,-0.23,-0.74,-0.95,-0.85,7.55,CCCCCCCCCCCCCCCC[NH2:1],2.26
id128,-1.62,0.04,2.48,-0.23,-0.71,-0.9,-0.77,7.02,C[NH:1]C,2.26
id129,-1.78,0.08,2.95,0.01,-0.84,-1.27,-0.97,8.1,CN(C)C=[N:1]CC(C)(C)C,2.26
id130,-1.67,0.04,2.49,-0.3,-0.71,-0.87,-0.77,7.12,CC[NH:1]C,2.25
id131,-1.51,0.06,2.42,-0.06,-0.66,-0.99,-0.79,6.54,CC[NH:1]CC,2.25
id132,-1.78,0.1,2.78,-0.08,-0.83,-1.08,-0.89,7.56,[NH2:1]CCN,2.25
id133,-1.01,0.14,2.11,0.93,-0.51,-1.1,-0.77,3.67,CCC(=[O:1])NC,2.24
id134,-1.03,0.11,2.1,0.9,-0.48,-1.14,-0.76,3.96,CC(C)C(=[O:1])N(C1CCCCC1)C1CCCCC1,2.24
id135,-1.12,0.1,2.24,0.85,-0.54,-1.19,-0.79,4.27,CC(C)N(C=[O:1])C(C)C,2.24
id136,-1.65,0.02,2.5,-0.25,-0.72,-0.91,-0.77,7.22,C[NH:1]C1CCCCC1,2.24
id137,-1.64,0.04,2.48,-0.22,-0.7,-0.92,-0.78,7.02,CCCC[NH:1]C,2.24
id138,-1.64,0.06,2.59,-0.14,-0.72,-0.93,-0.81,7.06,C1CCC[NH:1]CC1,2.24
id139,-1.56,0.07,2.6,0.2,-0.7,-1.15,-0.88,6.66,Cc1cc[n:1]cc1C,2.24
id140,-1.51,0.09,2.85,0.73,-0.74,-1.54,-1.05,6.27,CN(C)C(C)=NC#[N:1],2.24
id141,-0.95,0.24,2.07,1.07,-0.61,-1.17,-0.72,3.58,CS(=[O:1])c1ccccc1,2.24
id142,-0.95,0.21,2.03,1.02,-0.58,-1.17,-0.76,3.57,CN(C)C(=[O:1])c1ccccc1,2.23
id143,-1.67,0.06,2.66,-0.17,-0.73,-1,-0.85,7.45,CC(C)(C)[NH2:1],2.23
id144,-1.17,0.11,2.36,0.86,-0.59,-1.25,-0.84,4.58,CCC(=[O:1])N(C1CCCCC1)C1CCCCC1,2.22
id145,-1.37,-0.11,2.74,0.79,-0.44,-1.56,-0.99,5.18,Cc1ccc(NC=[N:1]c2ccc(C)cc2)cc1,2.22
id146,-1.63,0.08,2.57,-0.09,-0.72,-0.95,-0.81,6.9,COCCC[NH2:1],2.22
id147,-1.4,0.02,2.4,0.33,-0.6,-1.1,-0.79,5.79,Cn1c[n:1]cc1Br,2.22
id148,-1.67,0.07,2.57,-0.31,-0.72,-0.88,-0.79,7.33,C[NH:1]C(C)(C)C,2.21
id149,-1.57,0.07,2.6,0.13,-0.7,-1.1,-0.87,6.83,Cc1cc[n:1]c(C)c1,2.21
id150,-0.88,0.19,2.02,1.21,-0.52,-1.21,-0.7,3.07,Cc1ccc(cc1)S(=[O:1])c1ccc(C)cc1,2.21
id152,-1.69,0.06,2.55,-0.22,-0.74,-0.88,-0.79,7.17,NCCCC[NH2:1],2.21
id153,-1.7,0.08,2.65,-0.21,-0.76,-0.94,-0.83,7.33,NCCCCCC[NH2:1],2.21
id154,-1.54,0.07,2.42,-0.14,-0.69,-0.96,-0.78,6.66,C[NH:1]C(C)C,2.2
id155,-1.54,0.08,2.61,0.24,-0.74,-1.19,-0.88,6.6,Nc1ccc[n:1]c1,2.2
id156,-1.74,0.05,2.64,-0.25,-0.76,-0.93,-0.82,7.44,CC(C)[NH2:1],2.2
id157,-1.73,0.03,2.59,-0.22,-0.75,-0.97,-0.82,7.28,CCC[NH2:1],2.2
id158,-1.66,0.06,2.58,-0.19,-0.72,-0.91,-0.81,7.12,C[NH2:1],2.2
id159,-0.89,0.16,1.98,1.06,-0.47,-1.16,-0.73,3.21,CN(C(C)=[O:1])c1ccccc1,2.19
id160,-1.53,0.05,2.42,-0.09,-0.67,-0.91,-0.75,6.47,C[N:1]1CCCC1,2.19
id161,-1.44,-0.25,2.79,0.71,-0.41,-1.59,-0.89,5.84,C[N:1]=C(N(C)C)c1ccc(Br)cc1,2.19
id162,-1.68,0.05,2.6,-0.15,-0.72,-0.93,-0.82,7.15,CCCC[NH2:1],2.19
id163,-1.15,0.11,2.28,0.86,-0.55,-1.22,-0.82,4.3,[O:1]=CN1CCCCC1,2.17
id164,-1.11,0.09,2.2,0.84,-0.54,-1.18,-0.79,4.22,CCCCN(CCCC)C=[O:1],2.17
id165,-1.49,0.06,2.3,-0.22,-0.65,-0.86,-0.73,6.43,CC[N:1](C)C,2.17
id166,-0.75,0.08,1.67,1.15,-0.46,-1.19,-0.6,2.51,ClP(=[O:1])(c1ccccc1)c1ccccc1,2.17
id167,-1.68,0.06,2.61,-0.24,-0.73,-0.92,-0.81,7.33,CC[NH2:1],2.17
id168,-1.13,0.11,2.22,0.84,-0.54,-1.18,-0.8,4.2,CCN(CC)C=[O:1],2.16
id169,-1.11,0.14,2.18,0.78,-0.54,-1.07,-0.77,4.17,CC(=[O:1])N1CCOCC1,2.16
id170,-1.59,0.07,2.47,-0.16,-0.69,-0.9,-0.77,6.72,C1CC=CC[NH:1]1,2.16
id171,-1.02,0.11,2.08,0.8,-0.52,-1.12,-0.74,4.08,CN1C(CCC1=[O:1])c1cccnc1,2.16
id172,-1.19,-0.2,2.74,1.35,-0.26,-1.58,-0.92,4.37,CCN(C(=[O:1])N(CC)c1ccccc1)c1ccccc1,2.16
id173,-1.62,0.06,2.45,-0.25,-0.69,-0.85,-0.77,7.05,[NH2:1]CCc1ccccc1,2.16
id174,-1.06,-0.23,2.49,1.71,-0.21,-1.8,-0.98,3.11,CCN(CC(=[O:1])N(CC)c1ccccc1)c1ccccc1,2.16
id175,-1.4,0.07,2.23,-0.02,-0.61,-0.88,-0.72,5.96,C[N:1](C)C1CCCCC1,2.15
id176,-1.51,0.1,2.6,0.08,-0.65,-1.02,-0.86,6.94,Cc1cccc(C)[n:1]1,2.14
id177,-1.55,0.05,2.4,-0.29,-0.68,-0.96,-0.77,7.22,C[NH:1]CCc1ccccc1,2.14
id178,-0.88,0.18,1.93,0.97,-0.52,-1.12,-0.7,3.41,CN(C)C(=[O:1])c1ccc(F)cc1,2.14
id179,-1.47,0.05,2.3,-0.18,-0.65,-0.86,-0.73,6.39,C[N:1](C)C,2.13
id180,-1.5,0.07,2.49,0.21,-0.68,-1.11,-0.84,6.35,COc1cc[n:1]cc1,2.13
id181,-1.12,0.02,2.09,0.61,-0.4,-1.03,-0.7,4.08,N(C=[N:1]c1ccccc1)c1ccccc1,2.13
id182,-1.01,0.12,2.14,0.93,-0.48,-1.14,-0.76,3.8,CCN(CC)C(=[O:1])C(C)(C)C,2.13
id183,-1.49,0.08,2.61,0.1,-0.65,-1.04,-0.85,7.04,CN(C)C=[N:1]Cc1ccc(Cl)cc1,2.12
id184,-1.24,0.13,2.21,0.34,-0.59,-0.96,-0.75,5.15,Nc1cccc[n:1]1,2.12
id185,-1.28,0.08,2.32,0.15,-0.52,-0.88,-0.74,6.08,CN(C)C=[N:1]CCC#N,2.12
id186,-1.58,0.07,2.55,-0.11,-0.68,-0.93,-0.8,6.86,CCCC[NH:1]CCCC,2.11
id187,-1.42,0.04,2.23,-0.19,-0.6,-0.88,-0.71,6.37,CC(C)[N:1](C)C,2.11
id188,-1.46,0.04,2.2,-0.07,-0.65,-0.84,-0.71,5.92,C[N:1]1CCCCC1,2.11
id189,-1.53,0.05,2.54,0.2,-0.7,-1.13,-0.84,6.51,CC(C)(C)c1cc[n:1]cc1,2.11
id190,-1.27,0.13,2.27,0.33,-0.6,-0.99,-0.76,5.24,CNc1cccc[n:1]1,2.11
id191,-1.02,-0.17,1.88,1.14,-0.32,-1.56,-0.75,4,C[N:1]1C(CC(O)c2ccccc2)CCCC1CC(=O)c1ccccc1,2.11
id192,-1.2,-0.09,2.69,1.6,-0.52,-1.87,-1.06,4.18,C1CNCC[NH:1]1,2.11
id193,-1.02,0.11,2.11,0.87,-0.47,-1.11,-0.74,3.76,CN(C)C(=[O:1])C(C)(C)C,2.1
id194,-1.11,0.11,2.2,0.8,-0.56,-1.15,-0.78,4.19,CN(C)C=[O:1],2.1
id195,-1.15,-0.06,2.26,0.77,-0.39,-1.15,-0.78,4.23,CN(C)C=NC(=[O:1])c1ccccc1,2.1
id196,-1.65,0.1,2.71,0.02,-0.66,-1.1,-0.89,7.17,CN(C)C=[N:1]Cc1cccc(Cl)c1,2.1
id197,-1.08,0.01,1.96,0.43,-0.46,-1,-0.71,4.53,CCCN=C(NC)NC#[N:1],2.09
id198,-0.86,0.24,1.97,1.01,-0.5,-1.07,-0.7,3.08,CCOC(=[O:1])C=CN(C)C,2.09
id199,-1.51,-0.06,2.79,0.57,-0.63,-1.43,-1,6.36,CN(C)C=NC#[N:1],2.09
id200,-1.51,0.18,2.7,0.6,-0.88,-1.52,-0.93,6.02,COc1ccc(cc1)[N:1]=CN(C)C,2.08
id201,-1.46,0.07,2.41,0.21,-0.68,-1.07,-0.81,6.19,C1CNC(C1)c1ccc[n:1]c1,2.08
id202,-1.14,-0.24,2.52,1.39,-0.22,-1.65,-0.9,4.06,CN(C)C(=[O:1])N(c1ccccc1)c1ccccc1,2.08
id203,-1.56,0.07,2.8,0.45,-0.71,-1.29,-0.92,6.51,CN(C)C=[N:1]c1ccc(C)cc1,2.07
id204,-1.53,0.04,2.52,0.18,-0.7,-1.12,-0.84,6.49,Cc1cc[n:1]cc1,2.07
id205,-1.52,0.04,2.51,0.2,-0.7,-1.11,-0.84,6.42,CCc1cc[n:1]cc1,2.07
id206,-1.23,0.02,2.18,0.64,-0.5,-1.06,-0.71,4.53,CN(C)C(=[O:1])c1ccc(Br)cc1,2.07
id207,-1.15,-0.21,2.42,1.37,-0.25,-1.65,-0.89,3.93,CCN(CC)C(=[O:1])N(c1ccccc1)c1ccccc1,2.07
id208,-0.94,0.1,2.01,0.85,-0.43,-1.07,-0.71,3.62,CC(C)(C)C(=[O:1])N(C1CCCCC1)C1CCCCC1,2.06
id209,-0.81,0.15,1.71,0.89,-0.45,-1.11,-0.63,3.08,CN(C)C(=[S:1])N=C(C)N(C)C,2.06
id210,-1.45,0.1,2.33,-0.16,-0.66,-0.86,-0.73,6.36,C[N:1](C)CCCCCCN(C)C,2.05
id211,-1.34,0.08,2.25,-0.11,-0.64,-0.95,-0.74,6.31,CCCC[N:1]1CCCC1,2.04
id212,-1.09,0.09,2.19,0.97,-0.55,-1.28,-0.76,4,[O:1]=S(c1ccccc1)c1ccccc1,2.04
id213,-1.58,0.06,2.47,-0.21,-0.68,-0.86,-0.75,6.86,C1Cc2ccccc2C[NH:1]1,2.04
id214,-0.96,0.18,2.03,0.96,-0.54,-1.14,-0.75,3.64,CNC(=[O:1])c1ccccc1,2.03
id215,-1.48,0.07,2.49,0.12,-0.65,-1.04,-0.82,6.55,Cc1cccc[n:1]1,2.03
id216,-1,0.09,2.09,0.89,-0.47,-1.13,-0.75,3.9,CC(C)N(C(C)C)C(=[O:1])C(C)(C)C,2.03
id217,-0.98,0.21,2.06,0.84,-0.56,-1.07,-0.75,3.73,[O:1]=C1C=COC=C1,2.03
id218,-1.55,0.03,2.59,0.21,-0.7,-1.17,-0.88,6.59,CN1CCCC1c1ccc[n:1]c1,2.03
id219,-1.44,0.05,2.2,-0.1,-0.63,-0.83,-0.69,5.93,C[N:1]1CCC=CC1,2.02
id220,-1.4,0.02,2.24,-0.16,-0.61,-0.87,-0.69,6.16,C[N:1](C)CCN(C)C,2.02
id221,-1.44,-0.11,2.95,0.77,-0.27,-1.23,-0.96,4.81,CC(Nc1ccc(C)cc1)=[N:1]c1ccc(C)cc1,2.01
id222,-1.51,0.04,2.46,0.17,-0.69,-1.1,-0.82,6.4,CCc1ccc[n:1]c1,2.01
id223,-1.41,0.08,2.35,-0.14,-0.59,-0.96,-0.77,6.9,CC(C)[NH:1]C(C)C,2
id224,-1.53,0.07,2.41,-0.19,-0.66,-0.84,-0.76,6.6,C[NH:1]CC=C,2
id225,-1.46,0,2.96,0.46,-0.52,-1.23,-0.95,6.75,CN(C)C=[N:1]Cc1cc(Cl)cc(Cl)c1,2
id226,-1.49,0.05,2.48,0.19,-0.69,-1.09,-0.83,6.34,Cc1ccc[n:1]c1,2
id227,-0.79,0.27,1.68,0.91,-0.57,-1,-0.61,2.86,CN1CCCNC1=[S:1],2
id228,-1.1,0.02,2.64,0.69,-0.52,-1.19,-0.71,4.88,CN(C)C=[N:1]Cc1cccc(c1)C(F)(F)F,1.99
id229,-1.21,-0.18,2.47,0.37,-0.36,-1.34,-0.7,5.83,C[N:1]=C(N(C)C)c1ccc(cc1)[N+]([O-])=O,1.99
id230,-0.96,0.14,2.06,0.94,-0.46,-1.09,-0.76,3.5,[O:1]=C1C=C(Oc2ccccc12)c1ccccc1,1.99
id231,-1.45,0.04,2.26,-0.23,-0.62,-0.91,-0.72,6.5,CC[N:1](CC)CC,1.98
id232,-1.31,0.08,2.35,0.37,-0.61,-1.16,-0.81,5.84,C1C[N:1]=C(C1)c1ccccc1,1.98
id233,-1.12,0.13,2.21,0.8,-0.54,-1.1,-0.74,4.06,CCN(CC)C(=[O:1])c1cccnc1,1.98
id234,-1.4,0.05,2.14,-0.06,-0.62,-0.83,-0.7,5.79,CCC[N:1](C)C,1.98
id235,-1.12,0.18,2.26,0.86,-0.61,-1.18,-0.82,4.25,[O:1]=C1C=CC=CC=C1,1.97
id236,-1.31,0.02,2.04,-0.12,-0.53,-0.72,-0.61,5.47,ClC1C[N:1]2CCC1CC2,1.97
id237,-1.61,0.08,2.5,-0.09,-0.73,-0.94,-0.8,6.8,Cc1cccc(C[NH2:1])c1,1.97
id238,-0.82,0.18,1.82,0.94,-0.5,-1.05,-0.67,3.21,CN(C)C(=[O:1])c1ccc(cc1)C(F)(F)F,1.97
id239,-1.32,0.08,2.54,1.21,-0.66,-1.57,-1,4.57,c1ccc2c[n:1]ncc2c1,1.97
id240,-0.92,0.17,1.9,0.89,-0.48,-1,-0.71,3.23,CNC=[O:1],1.96
id241,-1.5,0.05,2.47,0.14,-0.69,-1.07,-0.82,6.42,c1ccc(cc1)-c1cc[n:1]cc1,1.96
id242,-1.51,0.05,2.46,0.12,-0.69,-1.06,-0.81,6.4,C=Cc1cc[n:1]cc1,1.95
id243,-1.35,0.1,2.35,0.28,-0.66,-1.21,-0.83,6.28,c1ccc2[n:1]c3ccccc3cc2c1,1.95
id244,-0.85,0.13,1.81,0.87,-0.41,-0.97,-0.65,3.1,CCOC(=[O:1])N(CC)CC,1.95
id245,-1.04,0.15,2.13,0.87,-0.53,-1.13,-0.77,3.87,CC(=[O:1])N(c1ccccc1)c1ccccc1,1.94
id246,-1.72,0.04,2.63,-0.39,-0.65,-0.85,-0.82,7.63,COc1cccc(C[NH2:1])c1,1.94
id247,-1.27,-0.01,1.86,-0.15,-0.47,-0.64,-0.59,5.13,C[N:1](C)CCC(=O)c1ccccc1,1.94
id248,-1.5,0.08,2.51,0.11,-0.68,-1.05,-0.83,6.66,CCc1cccc[n:1]1,1.94
id249,-1.47,0.06,2.43,0.18,-0.67,-1.08,-0.82,6.26,c1ccc2c[n:1]ccc2c1,1.94
id250,-0.75,0.08,1.51,0.61,-0.35,-0.73,-0.54,2.93,CN1C(CC([OH:1])c2ccccc2)CCCC1CC(=O)c1ccccc1,1.94
id251,-0.77,0.16,1.69,0.93,-0.42,-0.94,-0.62,2.67,[O:1]=CN1CCOCC1,1.93
id252,-1.51,0.12,2.52,0.3,-0.86,-1.4,-0.89,6.34,C1C[NH:1]C(C1)c1ccccc1,1.93
id253,-1.62,0.07,2.5,-0.21,-0.7,-0.88,-0.78,6.96,[NH2:1]CC=C,1.93
id254,-1.37,0.09,2.28,0.14,-0.63,-0.91,-0.74,5.76,C[N:1](C)CC=C,1.92
id255,-1.45,0.06,2.41,-0.02,-0.61,-1.08,-0.81,7.23,CN(C)C=[N:1]c1ccccc1,1.9
id256,-1.02,0.09,1.96,0.67,-0.45,-0.92,-0.66,3.86,CN(C)C(=[O:1])c1ccc(cc1)[N+]([O-])=O,1.9
id257,-1.42,0.06,2.37,0.17,-0.66,-1.07,-0.8,6.15,c1ccc2[n:1]cccc2c1,1.89
id258,-0.66,0.12,1.89,1.19,-0.36,-1.32,-0.54,2.52,[O:1]=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,1.89
id259,-1.68,0.01,2.49,-0.43,-0.72,-0.94,-0.77,7.63,CC1(C)CCCC(C)(C)[NH:1]1,1.88
id260,-1.3,0.08,1.99,-0.08,-0.59,-0.73,-0.64,5.45,C[N:1](C)CCCn1c2ccccc2c2ccccc12,1.88
id261,-1.47,0.08,2.47,0.17,-0.69,-1.09,-0.82,6.42,CCCCc1cccc[n:1]1,1.88
id262,-1.4,0.04,2.14,-0.1,-0.6,-0.82,-0.66,5.81,CN1CC[N:1](C)CC1,1.88
id263,-1.39,0.08,2.34,0.24,-0.65,-1.1,-0.81,6.11,c1ccc2c(c1)c[n:1]c1ccccc21,1.87
id264,-1.47,0.04,2.39,0.13,-0.66,-1.04,-0.79,6.19,c1cc[n:1]cc1,1.86
id265,-1.31,0.09,2.22,0.23,-0.59,-0.93,-0.74,5.43,CC(=O)n1cc[n:1]c1,1.86
id266,-1.36,-0.01,2.78,0.73,-0.37,-1.25,-0.9,4.99,CC(Nc1ccc(C)cc1)=[N:1]c1ccccc1,1.85
id267,-1.27,0.15,2.25,0.33,-0.6,-0.9,-0.76,5.26,Cn1ccc[n:1]1,1.84
id268,-1.09,0.19,2.22,0.86,-0.6,-1.15,-0.81,4.13,CC12CCC3C(CCC4=CC(=[O:1])C=CC34C)C1CCC2=O,1.84
id269,-1.61,0.05,2.55,-0.14,-0.69,-0.87,-0.78,6.9,[NH2:1]Cc1ccccc1,1.84
id270,-0.83,0.11,1.75,0.84,-0.41,-0.98,-0.63,3.08,CCOC(=[O:1])N(C)C,1.83
id271,-1.53,-0.12,2.85,0.49,-0.52,-1.57,-0.96,6.35,CNC(=[N:1]c1ccccc1)c1ccccc1,1.83
id272,-1.11,0.1,2.2,0.76,-0.54,-1.16,-0.8,4.41,CCN(CC)c1ccc(cc1)C(C)=[O:1],1.82
id273,-1.46,0.1,2.78,0.73,-0.78,-1.61,-0.96,6.14,CN(C(C)=[N:1]c1ccc(C)cc1)c1ccc(C)cc1,1.82
id274,-1.56,0.03,2.39,-0.16,-0.68,-0.87,-0.75,6.71,C[NH:1]Cc1ccccc1,1.82
id275,-1.36,0.1,2.52,0.56,-0.68,-1.24,-0.83,5.7,CN(C)C=[N:1]c1ccc(F)cc1,1.8
id276,-1.35,0.15,2.76,0.64,-0.72,-1.56,-0.98,6.37,[NH:1]=C(c1ccccc1)c1ccccc1,1.8
id277,-1.4,0.05,2.11,-0.1,-0.6,-0.77,-0.67,5.69,C[N:1]1CCc2ccccc2C1,1.8
id278,-0.83,0.13,1.76,0.83,-0.39,-0.95,-0.63,3.09,COC(=[O:1])N(C)C,1.8
id279,-0.66,0.34,1.51,0.92,-0.56,-0.91,-0.55,2.21,CN(C)C=NC(=[S:1])N(C)C,1.79
id280,-1.35,0.08,2.09,-0.02,-0.6,-0.76,-0.65,5.48,C1COCC[NH:1]1,1.78
id281,-1.12,0.11,2.23,0.8,-0.54,-1.17,-0.82,4.38,CN(C)c1ccc(cc1)C(C)=[O:1],1.76
id282,-1.15,0.19,2.37,0.84,-0.68,-1.49,-0.85,5.16,CN(C(C)=[N:1]c1ccccc1)c1ccc(C)cc1,1.76
id283,-1.4,0.07,2.28,0.06,-0.61,-0.99,-0.78,6.35,CC(C)c1cccc[n:1]1,1.76
id284,-1.19,0.16,2.48,0.86,-0.67,-1.51,-0.88,5.29,CN(C(C)=[N:1]c1ccc(C)cc1)c1ccccc1,1.75
